codigo_ibge,municipio,uf,ano,precipitacao_anual_mm,temperatura_media_anual_c,temperatura_maxima_anual_c,temperatura_minima_anual_c,umidade_relativa_media_pct,radiacao_solar_media_mj_m2_dia,quantidade_dias
3547502,Santa Rita do Passa Quatro,SP,2000,1499.8999999999999,21.965819672131147,28.513005464480877,16.43450819672131,72.14546448087432,18.61710382513661,366
3547502,Santa Rita do Passa Quatro,SP,2001,1301.86,22.228794520547947,28.66282191780822,16.712876712328768,71.0313698630137,19.19304109589041,365
3547502,Santa Rita do Passa Quatro,SP,2002,1481.19,22.938767123287672,29.575205479452055,17.333013698630136,69.80728767123287,19.028438356164383,365
3547502,Santa Rita do Passa Quatro,SP,2003,1458.91,22.10904109589041,28.616602739726027,16.54786301369863,71.00835616438356,18.75284931506849,365
3547502,Santa Rita do Passa Quatro,SP,2004,1556.58,21.475765027322403,27.74707650273224,16.067049180327867,74.47407103825137,18.433524590163934,366
3547502,Santa Rita do Passa Quatro,SP,2005,1331.85,22.296630136986302,28.745780821917805,16.85978082191781,72.16624657534247,18.384520547945208,365
3547502,Santa Rita do Passa Quatro,SP,2006,1364.06,22.06227397260274,28.57186301369863,16.592219178082193,70.71246575342465,18.850356164383562,365
3547502,Santa Rita do Passa Quatro,SP,2007,1235.41,22.621150684931504,29.360794520547948,16.87186301369863,69.01487671232877,19.018493150684932,365
3547502,Santa Rita do Passa Quatro,SP,2008,1356.66,22.008743169398908,28.4851912568306,16.51191256830601,71.92939890710383,18.393142076502734,366
3547502,Santa Rita do Passa Quatro,SP,2009,1674.68,21.85753424657534,27.596465753424656,17.013506849315068,78.49090410958904,17.86208219178082,365
3547502,Santa Rita do Passa Quatro,SP,2010,952.82,22.483780821917808,29.404876712328768,16.67287671232877,68.44854794520548,19.25249315068493,365
3547502,Santa Rita do Passa Quatro,SP,2011,1407.27,21.96731506849315,28.289123287671234,16.515452054794522,72.08953424657534,18.831397260273974,365
3547502,Santa Rita do Passa Quatro,SP,2012,1203.3899999999999,22.47920765027322,28.838961748633878,16.991311475409834,70.76713114754098,19.230792349726777,366
3547502,Santa Rita do Passa Quatro,SP,2013,1258.4,21.982849315068492,28.224493150684932,16.6787397260274,73.93912328767124,18.375561643835617,365
3547502,Santa Rita do Passa Quatro,SP,2014,698.99,23.784219178082193,31.06265753424658,17.595287671232875,60.44619178082192,19.745671232876713,365
3547502,Santa Rita do Passa Quatro,SP,2015,1227.03,23.111452054794523,29.383479452054793,17.884958904109588,71.51539726027397,18.173013698630136,365
3547502,Santa Rita do Passa Quatro,SP,2016,1202.73,22.424398907103825,29.0472131147541,16.839153005464482,72.05737704918033,18.963278688524593,366
3547502,Santa Rita do Passa Quatro,SP,2017,1059.27,22.75676712328767,29.421013698630137,17.206109589041095,68.19750684931508,19.220219178082193,365
3547502,Santa Rita do Passa Quatro,SP,2018,1234.17,22.601178082191783,28.817835616438355,17.269671232876714,71.31490410958904,18.670904109589042,365
3547502,Santa Rita do Passa Quatro,SP,2019,1064.27,23.334136986301367,29.86049315068493,17.73408219178082,69.12446575342466,19.18964383561644,365
3547502,Santa Rita do Passa Quatro,SP,2020,999.26,23.454316939890713,30.593688524590167,17.421912568306013,64.44893442622951,19.248907103825136,366
3547502,Santa Rita do Passa Quatro,SP,2021,889.04,23.252849315068495,30.5752602739726,16.97158904109589,61.2133698630137,19.430794520547945,365
