codigo_ibge,municipio,uf_agricola,produto,ano,area_plantada_ha,area_colhida_ha,producao_ton,rendimento_kg_ha,produtividade_ton_ha_ibge,produtividade_ton_ha_calculada,diferenca_produtividade_ton_ha,valor_producao_mil_reais,uf_clima,precipitacao_anual_mm,temperatura_media_anual_c,temperatura_maxima_anual_c,temperatura_minima_anual_c,umidade_relativa_media_pct,radiacao_solar_media_mj_m2_dia,quantidade_dias,variacao_anual_produtividade_pct,variacao_anual_producao_pct,precipitacao_media_diaria_mm,amplitude_termica_media_c,dias_chuvosos_p1_brotacao_crescimento_inicial,dias_chuvosos_p2_crescimento_acumulo_sacarose,dias_chuvosos_p3_maturacao_colheita,dias_secos_p1_brotacao_crescimento_inicial,dias_secos_p2_crescimento_acumulo_sacarose,dias_secos_p3_maturacao_colheita,precipitacao_acumulada_mm_p1_brotacao_crescimento_inicial,precipitacao_acumulada_mm_p2_crescimento_acumulo_sacarose,precipitacao_acumulada_mm_p3_maturacao_colheita,temperatura_media_c_p1_brotacao_crescimento_inicial,temperatura_media_c_p2_crescimento_acumulo_sacarose,temperatura_media_c_p3_maturacao_colheita,produtividade_ton_ha_ibge_lag1,precipitacao_anual_mm_lag1
3500105,Adamantina (SP),SP,Cana-de-açúcar,2010,13000,13000.0,1040000.0,80000.0,80.0,80.0,0.0,36400.0,SP,1252.09,23.200657534246574,29.178712328767123,17.92049315068493,73.4241095890411,18.937890410958904,365,0.0,0.0,3.4303835616438354,11.258219178082193,51.0,69.0,10.0,71.0,51.0,113.0,503.99,702.34,45.76,25.320737704918034,24.74458333333333,19.591544715447156,80.0,1817.75
3500105,Adamantina (SP),SP,Cana-de-açúcar,2011,13000,13000.0,975000.0,75000.0,75.0,75.0,0.0,40950.0,SP,1363.1200000000001,23.249561643835616,29.166246575342466,18.002,72.68539726027397,19.352493150684932,365,-6.25,-6.25,3.734575342465754,11.164246575342467,36.0,79.0,16.0,86.0,41.0,107.0,494.95,763.68,104.49000000000001,25.562868852459015,24.618666666666666,19.619349593495933,80.0,1252.09
3500105,Adamantina (SP),SP,Cana-de-açúcar,2012,13000,13000.0,780000.0,60000.0,60.0,60.0,0.0,49600.0,SP,1216.25,24.46136612021858,30.648032786885246,18.965655737704918,67.45781420765027,19.55710382513661,366,-19.999999999999996,-19.999999999999996,3.323087431693989,11.682377049180328,47.0,55.0,22.0,75.0,66.0,101.0,496.9,420.23,299.12,27.00155737704918,25.95322314049587,20.47422764227642,75.0,1363.1200000000001
3500105,Adamantina (SP),SP,Cana-de-açúcar,2013,13000,13000.0,910000.0,70000.0,70.0,70.0,0.0,55965.0,SP,1133.17,23.724109589041095,29.785397260273974,18.439753424657535,71.19175342465753,19.01095890410959,365,16.666666666666675,16.666666666666675,3.1045753424657536,11.345643835616439,48.0,66.0,21.0,74.0,54.0,102.0,400.7,568.83,163.64000000000001,26.084180327868854,24.591583333333332,20.53691056910569,60.0,1216.25
3500105,Adamantina (SP),SP,Cana-de-açúcar,2014,12115,12115.0,726900.0,60000.0,60.0,60.0,0.0,43003.0,SP,1112.23,24.77641095890411,31.09717808219178,19.268767123287674,65.09964383561643,19.130164383561645,365,-14.28571428571429,-20.12087912087912,3.047205479452055,11.828410958904104,55.0,55.0,16.0,67.0,65.0,107.0,541.02,444.69,126.52,26.310573770491803,26.249416666666665,21.817642276422767,70.0,1133.17
3500105,Adamantina (SP),SP,Cana-de-açúcar,2015,12950,12950.0,1036000.0,80000.0,80.0,80.0,0.0,61756.0,SP,1458.24,24.70953424657534,30.561890410958906,19.664438356164386,71.47512328767122,18.195205479452056,365,33.33333333333333,42.523043059568025,3.995178082191781,10.89745205479452,71.0,70.0,22.0,51.0,50.0,101.0,800.31,501.08,156.85,26.47622950819672,25.67575,22.014552845528456,60.0,1112.23
3500105,Adamantina (SP),SP,Cana-de-açúcar,2016,12900,12900.0,1032000.0,80000.0,80.0,80.0,0.0,59330.0,SP,1272.76,22.970218579234974,28.80502732240437,17.875273224043717,75.91543715846994,19.014754098360655,366,0.0,-0.38610038610038533,3.477486338797814,10.929754098360654,50.0,62.0,28.0,72.0,59.0,95.0,377.55,593.03,302.18,24.714180327868853,25.10132231404959,19.1439837398374,80.0,1458.24
3500105,Adamantina (SP),SP,Cana-de-açúcar,2017,12800,12800.0,1024000.0,80000.0,80.0,80.0,0.0,60467.0,SP,1482.71,23.751123287671234,29.653616438356163,18.622712328767122,72.96887671232876,19.13950684931507,365,0.0,-0.7751937984496138,4.0622191780821915,11.030904109589041,53.0,69.0,23.0,69.0,51.0,100.0,699.46,532.95,250.29999999999998,25.857622950819675,24.950166666666668,20.491951219512192,80.0,1272.76
3500105,Adamantina (SP),SP,Cana-de-açúcar,2018,13000,13000.0,910000.0,70000.0,70.0,70.0,0.0,55783.0,SP,1131.33,23.94454794520548,29.75194520547945,18.838465753424657,72.2752602739726,18.886931506849315,365,-12.5,-11.1328125,3.099534246575342,10.913479452054794,61.0,64.0,15.0,61.0,56.0,108.0,530.02,521.89,79.42,25.8727868852459,24.878916666666665,21.12040650406504,80.0,1482.71
3500105,Adamantina (SP),SP,Cana-de-açúcar,2019,12500,12500.0,937500.0,75000.0,75.0,75.0,0.0,60094.0,SP,945.05,25.772739726027396,32.301095890410956,20.096438356164384,62.90567123287671,19.477890410958906,365,7.14285714285714,3.0219780219780112,2.589178082191781,12.204657534246572,55.0,57.0,17.0,67.0,63.0,106.0,408.4,440.27,96.38,28.132540983606557,26.756416666666667,22.472439024390244,70.0,1131.33
