NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,V_numerico,variavel_padronizada
6,Município,1006,Hectares,12900,3500105,Adamantina (SP),216,Área colhida,2016,2016,40106,Cana-de-açúcar,12900,area_colhida_ha
6,Município,1006,Hectares,12800,3500105,Adamantina (SP),216,Área colhida,2017,2017,40106,Cana-de-açúcar,12800,area_colhida_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),216,Área colhida,2018,2018,40106,Cana-de-açúcar,13000,area_colhida_ha
6,Município,1006,Hectares,12500,3500105,Adamantina (SP),216,Área colhida,2019,2019,40106,Cana-de-açúcar,12500,area_colhida_ha
6,Município,1006,Hectares,11349,3500105,Adamantina (SP),216,Área colhida,2020,2020,40106,Cana-de-açúcar,11349,area_colhida_ha
6,Município,1006,Hectares,13672,3500105,Adamantina (SP),216,Área colhida,2021,2021,40106,Cana-de-açúcar,13672,area_colhida_ha
6,Município,1006,Hectares,12549,3500105,Adamantina (SP),216,Área colhida,2022,2022,40106,Cana-de-açúcar,12549,area_colhida_ha
6,Município,1006,Hectares,11349,3500105,Adamantina (SP),216,Área colhida,2023,2023,40106,Cana-de-açúcar,11349,area_colhida_ha
6,Município,1006,Hectares,11349,3500105,Adamantina (SP),216,Área colhida,2024,2024,40106,Cana-de-açúcar,11349,area_colhida_ha
6,Município,1017,Toneladas,350000,3500105,Adamantina (SP),214,Quantidade produzida,2000,2000,40106,Cana-de-açúcar,350000,producao_ton
6,Município,1017,Toneladas,560000,3500105,Adamantina (SP),214,Quantidade produzida,2001,2001,40106,Cana-de-açúcar,560000,producao_ton
6,Município,1017,Toneladas,614158,3500105,Adamantina (SP),214,Quantidade produzida,2002,2002,40106,Cana-de-açúcar,614158,producao_ton
6,Município,1017,Toneladas,594663,3500105,Adamantina (SP),214,Quantidade produzida,2003,2003,40106,Cana-de-açúcar,594663,producao_ton
6,Município,1017,Toneladas,664000,3500105,Adamantina (SP),214,Quantidade produzida,2004,2004,40106,Cana-de-açúcar,664000,producao_ton
6,Município,1017,Toneladas,699491,3500105,Adamantina (SP),214,Quantidade produzida,2005,2005,40106,Cana-de-açúcar,699491,producao_ton
6,Município,1017,Toneladas,600000,3500105,Adamantina (SP),214,Quantidade produzida,2006,2006,40106,Cana-de-açúcar,600000,producao_ton
6,Município,1017,Toneladas,1200000,3500105,Adamantina (SP),214,Quantidade produzida,2007,2007,40106,Cana-de-açúcar,1200000,producao_ton
6,Município,1017,Toneladas,1170000,3500105,Adamantina (SP),214,Quantidade produzida,2008,2008,40106,Cana-de-açúcar,1170000,producao_ton
6,Município,1017,Toneladas,1040000,3500105,Adamantina (SP),214,Quantidade produzida,2009,2009,40106,Cana-de-açúcar,1040000,producao_ton
6,Município,1017,Toneladas,1040000,3500105,Adamantina (SP),214,Quantidade produzida,2010,2010,40106,Cana-de-açúcar,1040000,producao_ton
6,Município,1017,Toneladas,975000,3500105,Adamantina (SP),214,Quantidade produzida,2011,2011,40106,Cana-de-açúcar,975000,producao_ton
6,Município,1017,Toneladas,780000,3500105,Adamantina (SP),214,Quantidade produzida,2012,2012,40106,Cana-de-açúcar,780000,producao_ton
6,Município,1017,Toneladas,910000,3500105,Adamantina (SP),214,Quantidade produzida,2013,2013,40106,Cana-de-açúcar,910000,producao_ton
6,Município,1017,Toneladas,726900,3500105,Adamantina (SP),214,Quantidade produzida,2014,2014,40106,Cana-de-açúcar,726900,producao_ton
6,Município,1017,Toneladas,1036000,3500105,Adamantina (SP),214,Quantidade produzida,2015,2015,40106,Cana-de-açúcar,1036000,producao_ton
6,Município,1017,Toneladas,1032000,3500105,Adamantina (SP),214,Quantidade produzida,2016,2016,40106,Cana-de-açúcar,1032000,producao_ton
6,Município,1017,Toneladas,1024000,3500105,Adamantina (SP),214,Quantidade produzida,2017,2017,40106,Cana-de-açúcar,1024000,producao_ton
