codigo_ibge,nome_municipio,latitude,longitude
3554102,Taubaté,-23.031448,-45.5612792
3557204,Chavantes,-23.0406405,-49.7071698
3510906,Cássia dos Coqueiros,-21.280082,-47.164327
3516903,General Salgado,-20.6488139,-50.3608101
3545704,Santa Albertina,-20.0323485,-50.7278392
3502101,Andradina,-20.896505,-51.3742765
3544707,Sagres,-21.8840628,-50.9574608
3509601,Campo Limpo Paulista,-23.207791,-46.788919
3554300,Teodoro Sampaio,-22.435,-52.3353654
3519006,Herculândia,-22.004508,-50.3862746
3536109,Pardinho,-23.0810065,-48.3781499
3556305,Valparaíso,-21.2230369,-50.8666375
3528106,Macaubal,-20.8071616,-49.9648439
3505302,Barra Bonita,-22.490859,-48.558349
3505005,Barão de Antonina,-23.6295651,-49.5632104
3514502,Duartina,-22.414562,-49.408355
3500600,Águas de São Pedro,-22.6000681,-47.8750887
3536570,Paulistânia,-22.5730321,-49.3985251
3510104,Cândido Rodrigues,-21.3255615,-48.6308798
3521101,Ipeúna,-22.4356582,-47.7146714
3544004,Rio das Pedras,-22.8441256,-47.6065667
3500204,Adolfo,-21.2356597,-49.6441918
3542800,Ribeira,-24.6577435,-49.0086372
3533601,Nuporanga,-20.730877,-47.7522561
3533106,Nova Guataporanga,-21.3330061,-51.6465874
3519402,Ibirá,-21.0815104,-49.2424619
3526902,Limeira,-22.5615068,-47.401766
3530201,Mirante do Paranapanema,-22.2925861,-51.907143
3528908,Mariápolis,-21.7966708,-51.1831475
3550605,São Roque,-23.5304843,-47.1355473
3532405,Nazaré Paulista,-23.1819309,-46.3992986
3521507,Irapuã,-21.2791964,-49.4101967
3550308,São Paulo,-23.5506507,-46.6333824
3503802,Artur Nogueira,-22.572737,-47.172679
3504008,Assis,-22.6620892,-50.420623
3541604,Promissão,-21.5404913,-49.8574709
3511300,Cedral,-20.9028433,-49.2699665
3527504,Lucianópolis,-22.4310459,-49.5219241
3542008,Quintana,-22.0705513,-50.308652
3540408,Populina,-19.9427771,-50.5372875
3534005,Onda Verde,-20.6071428,-49.2950997
3547106,Santa Mercedes,-21.3513258,-51.7534
3502200,Angatuba,-23.4938938,-48.4110675
3512506,Coroados,-21.3554634,-50.2853589
3545100,Salmourão,-21.625096,-50.8605656
3507753,Brejo Alegre,-21.1671191,-50.1850393
3551900,Severínia,-20.810753,-48.80538
3529302,Matão,-21.6033611,-48.3660603
3556909,Vista Alegre do Alto,-21.171293,-48.6299172
3551801,Sete Barras,-24.3878438,-47.9265798
3546405,Santa Cruz do Rio Pardo,-22.9060715,-49.6277378
3511102,Catanduva,-21.1331035,-48.9712817
3501608,Americana,-22.7392463,-47.3306032
3534302,Orlândia,-20.720278,-47.886667
3528304,Magda,-20.6444651,-50.2260983
3505500,Barretos,-20.5531437,-48.5697509
3549508,São José da Bela Vista,-20.5934194,-47.6416942
3523602,Itirapina,-22.2536514,-47.8212546
3548401,Santópolis do Aguapeí,-21.6379556,-50.5008527
3512100,Colômbia,-20.1774291,-48.6872822
3500303,Aguaí,-22.0592036,-46.979384
3546702,Santa Gertrudes,-22.4590897,-47.532034
3522158,Itaoca,-24.6409691,-48.8410159
3511201,Catiguá,-21.0491485,-49.0578923
3537305,Penápolis,-21.4192406,-50.0765588
3501152,Alumínio,-23.5203479,-47.2575256
3530904,Mombuca,-22.9293093,-47.5650724
3533502,Novo Horizonte,-21.4674564,-49.2235377
3535606,Paraibuna,-23.3864203,-45.6626797
3531407,Monte Aprazível,-20.7625702,-49.7088402
3508405,Cabreúva,-23.3076663,-47.1324726
3521606,Irapuru,-21.5691828,-51.3494606
3532900,Nova Europa,-21.7808203,-48.5661712
3504503,Avaré,-23.1045215,-48.9259103
3501806,Américo de Campos,-20.298476,-49.735904
3532702,Nipoã,-20.9126469,-49.7791476
3542404,Regente Feijó,-22.2191056,-51.3034558
3548500,Santos,-23.9609448,-46.3166316
3520608,Indiana,-22.1748508,-51.2534615
3554201,Tejupá,-23.3437238,-49.3772468
3501707,Américo Brasiliense,-21.7297099,-48.1052092
3513405,Cruzeiro,-22.5783685,-44.9642044
3543907,Rio Claro,-22.4100108,-47.5603933
3523107,Itaquaquecetuba,-23.4754492,-46.3514033
3551603,Serra Negra,-22.6126459,-46.699986
3508801,Cafelândia,-21.8054355,-49.6030627
3519600,Ibitinga,-21.75623,-48.831903
3549904,São José dos Campos,-23.1867782,-45.8854538
3509007,Caieiras,-23.3644621,-46.7484765
3511409,Cerqueira César,-23.0353135,-49.1650519
3555901,Uru,-21.7846064,-49.2819702
3510153,Canitar,-23.0066616,-49.7840632
3540002,Pompéia,-22.1088293,-50.1720753
3522604,Itapira,-22.436111,-46.821667
3535309,Palmital,-22.786384,-50.2198965
3520004,Igaraçu do Tietê,-22.5118084,-48.5578207
3531001,Monções,-20.850949,-50.097537
3515194,Espírito Santo do Turvo,-22.6939723,-49.4295067
3536208,Pariquera-Açu,-24.7146891,-47.8802361
3557303,Estiva Gerbi,-22.2742719,-46.9523302
3540507,Porangaba,-23.17615,-48.119464
3521002,Iperó,-23.3508977,-47.687611
3518701,Guarujá,-23.9927768,-46.2558332
3527702,Luiziânia,-21.6763356,-50.3269863
3515806,Flora Rica,-21.6760063,-51.3804532
3532504,Neves Paulista,-20.842992,-49.635767
3555802,Urânia,-20.244491,-50.6450868
3550704,São Sebastião,-23.8027866,-45.4070527
3554953,Tuiuti,-22.8129751,-46.6936447
3551207,Sarutaiá,-23.2747217,-49.477186
3532207,Narandiba,-22.4080573,-51.5251755
3508603,Cachoeira Paulista,-22.6605578,-45.0081689
3536406,Paulicéia,-21.3143975,-51.8316259
3552403,Sumaré,-22.8217964,-47.267105
3516200,Franca,-20.5381768,-47.4009795
3531605,Monte Castelo,-21.3006353,-51.5686963
3542909,Ribeirão Bonito,-22.0692867,-48.1781765
3543808,Rinópolis,-21.728308,-50.7226134
3547700,Santo Anastácio,-21.974662,-51.652662
3502804,Araçatuba,-21.207992,-50.4390225
3511508,Cerquilho,-23.1626556,-47.7433878
3512308,Conchas,-23.0133538,-48.0077595
3549102,São João da Boa Vista,-21.9687099,-46.7969216
3518503,Guareí,-23.3718195,-48.184685
3501509,Alvinlândia,-22.4431852,-49.7643596
3539509,Pitangueiras,-21.013203,-48.220951
3514924,Elisiário,-21.1673392,-49.1111015
3524709,Jaguariúna,-22.70374,-46.985062
3503950,Aspásia,-20.1596604,-50.7279226
3532603,Nhandeara,-20.6943324,-50.0406028
3545605,Santa Adélia,-21.2432992,-48.8061481
3554904,Três Fronteiras,-20.234355,-50.890528
3543006,Ribeirão Branco,-24.2211495,-48.7678322
3507159,Bom Sucesso de Itararé,-24.3190016,-49.1446207
3557154,Zacarias,-21.0523649,-50.0514502
3522802,Itaporanga,-23.7066252,-49.4895934
3508702,Caconde,-21.5281123,-46.6434015
3515400,Fartura,-23.390039,-49.5109023
3531209,Monte Alegre do Sul,-22.681861,-46.6798783
3531902,Morro Agudo,-20.7276692,-48.052795
3546306,Santa Cruz das Palmeiras,-21.823475,-47.248023
3521150,Ipiguá,-20.657282,-49.3881146
3532868,Nova Castilho,-20.7638386,-50.3427479
3546504,Santa Ernestina,-21.4634463,-48.3912139
3502408,Anhumas,-22.2956478,-51.3873401
3533403,Nova Odessa,-22.7805746,-47.2993805
3549300,São João do Pau d'Alho,-21.2701055,-51.6654978
3515509,Fernandópolis,-20.2825647,-50.2500762
3546603,Santa Fé do Sul,-20.2106188,-50.9270837
3519808,Icém,-20.3413103,-49.1970982
3523800,Itobi,-21.730853,-46.9743
3550407,São Pedro,-22.5512765,-47.9072359
3505807,Bastos,-21.9222474,-50.7317727
3533007,Nova Granada,-20.5345426,-49.3186951
3528205,Macedônia,-20.1454034,-50.193911
3534203,Orindiúva,-20.1819444,-49.3508333
3520103,Igarapava,-20.0411748,-47.7476682
3506102,Bebedouro,-20.949077,-48.479083
3525607,João Ramalho,-22.2486157,-50.7677114
3535408,Panorama,-21.3611651,-51.8574008
3522653,Itapirapuã Paulista,-24.5735083,-49.1703846
3554607,Timburi,-23.2064076,-49.6045576
3539400,Piratininga,-22.4136363,-49.1351479
3527306,Louveira,-23.08639,-46.95056
3520509,Indaiatuba,-23.0908356,-47.2180677
3550506,São Pedro do Turvo,-22.745286,-49.742829
3546108,Santa Clara d'Oeste,-20.0938889,-50.9263889
3536604,Paulo de Faria,-20.029593,-49.3998592
3545803,Santa Bárbara d'Oeste,-22.7542539,-47.4137884
3521309,Ipuã,-20.4441839,-48.012504
3538907,Pirajuí,-21.9957877,-49.4549675
3529005,Marília,-22.2172002,-49.9500061
3540200,Pontal,-21.0239714,-48.0393457
3500402,Águas da Prata,-21.9464285,-46.7192121
3516804,Gastão Vidigal,-20.7956829,-50.1907615
3524204,Jaborandi,-20.6921079,-48.4144076
3520202,Igaratá,-23.2063475,-46.156934
3530508,Mococa,-21.464731,-47.002405
3503000,Aramina,-20.0876144,-47.789201
3514403,Dracena,-21.4835523,-51.5334408
3500105,Adamantina,-21.6866517,-51.0762975
3537701,Piacatu,-21.5901744,-50.5972241
3541059,Pratânia,-22.809027,-48.6656779
3541901,Queluz,-22.5371881,-44.7752585
3512407,Cordeirópolis,-22.4768324,-47.4550551
3523503,Itatinga,-23.1042417,-48.6134874
3520806,Inúbia Paulista,-21.7701831,-50.9616718
3512001,Colina,-20.711443,-48.53867
3539707,Platina,-22.6328334,-50.2049642
3532009,Morungaba,-22.88,-46.79167
3543600,Rifaina,-20.0811589,-47.4210736
3527603,Luís Antônio,-21.552463,-47.7033894
3549409,São Joaquim da Barra,-20.5814993,-47.8608238
3500907,Altair,-20.5238955,-49.0606135
3537404,Pereira Barreto,-20.6378509,-51.1052172
3503208,Araraquara,-21.7886713,-48.1773096
3509452,Campina do Monte Alegre,-23.5935653,-48.4801876
3550001,São Luiz do Paraitinga,-23.2220531,-45.3108444
3520400,Ilhabela,-23.816628,-45.368685
3521705,Itaberá,-23.8621345,-49.1398926
3538808,Piraju,-23.1938491,-49.3842588
3543402,Ribeirão Preto,-21.1776315,-47.8100983
3535101,Palmares Paulista,-21.085369,-48.803656
3525102,Jardinópolis,-21.0255126,-47.7706807
3546009,Santa Branca,-23.3974353,-45.8842294
3506003,Bauru,-22.3173803,-49.0689778
3506508,Birigui,-21.2908491,-50.34144
3503505,Areias,-22.5800929,-44.6975127
3504206,Auriflama,-20.6840418,-50.5554616
3522901,Itapuí,-22.2346755,-48.7189744
3515202,Estrela d'Oeste,-20.2860692,-50.3986216
3546801,Santa Isabel,-23.3194222,-46.2271903
3538006,Pindamonhangaba,-22.9364,-45.4622602
3501202,Álvares Florence,-20.2936023,-49.9330156
3510005,Cândido Mota,-22.7434964,-50.38924
3515129,Emilianópolis,-21.831436,-51.483168
3521408,Iracemápolis,-22.5869091,-47.5160966
3533908,Olímpia,-20.736634,-48.910625
3509403,Cajuru,-21.2759978,-47.3046035
3512704,Corumbataí,-22.2210521,-47.6249638
3506409,Bilac,-21.403962,-50.47464
3513207,Cristais Paulista,-20.403569,-47.420915
3525854,Jumirim,-23.0843839,-47.7882279
3531506,Monte Azul Paulista,-20.90649,-48.638717
3540606,Porto Feliz,-23.2110713,-47.5247163
3533700,Ocauçu,-22.4396255,-49.9226712
3506904,Bofete,-23.1019554,-48.2610535
3517505,Guapiaçu,-20.79663,-49.2253917
3511607,Cesário Lange,-23.226035,-47.954453
3551108,Sarapuí,-23.63974,-47.824863
3546256,Santa Cruz da Esperança,-21.2918648,-47.4309885
3500550,Águas de Santa Bárbara,-22.8821912,-49.2383956
3518107,Guarantã,-21.8950705,-49.590107
3503703,Ariranha,-21.18716,-48.790418
3557105,Votuporanga,-20.4252908,-49.972028
3524808,Jales,-20.2671767,-50.5492435
3554656,Torre de Pedra,-23.2478026,-48.1941034
3533809,Óleo,-22.9422754,-49.3408082
3549805,São José do Rio Preto,-20.8125851,-49.3804212
3517000,Getulina,-21.7988557,-49.9288096
3519071,Hortolândia,-22.8620175,-47.2164219
3536802,Pedra Bela,-22.7950193,-46.4431811
3524303,Jaboticabal,-21.252037,-48.325223
3534500,Oscar Bressane,-22.314874,-50.281118
3544806,Sales,-21.3418263,-49.4999228
3555604,Uchoa,-20.951106,-49.171295
3511003,Castilho,-20.8695636,-51.4877792
3544202,Riolândia,-19.980944,-49.6814309
3504107,Atibaia,-23.1177393,-46.5547861
3511706,Charqueada,-22.50958,-47.775468
3514908,Elias Fausto,-23.0416538,-47.3718002
3513900,Divinolândia,-21.6604584,-46.7371151
3509304,Cajobi,-20.8776238,-48.8106972
3500709,Agudos,-22.4719836,-48.9884476
3553203,Taiúva,-21.1238184,-48.4512476
